OTU;16SAMP-3893;16SAMP-3913;16SAMP-3941;16SAMP-3946;16SAMP-3953;16SAMP-4591;16SAMP-4597;16SAMP-4603;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU_1;23;15;273;51;127;190;220;83;k__Bacteria;p__Chloroflexi;c__SJA-15;o__C10_SB1A;f__C10_SB1A;g__Candidatus Amarilinum;s__
OTU_2;675;565;331;411;430;780;699;820;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Tetrasphaera;s__
OTU_3;780;733;405;199;1346;1114;1630;112;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthricaceae;g__Candidatus Microthrix;s__
OTU_4;272;233;1434;256;736;1338;1224;564;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Dechloromonas;s__
OTU_5;560;339;509;598;223;145;212;1619;k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Candidatus Villogracilis;s__
OTU_6;906;766;133;390;232;1458;560;287;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus;s__
OTU_7;297;218;418;130;1354;198;283;116;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthricaceae;g__Candidatus Microthrix;s__
OTU_8;28;8;155;72;156;101;151;25;k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__sublineage I
OTU_9;0;0;9;0;19;25;58;0;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae;g__QEDR3BF09;s__
OTU_10;373;256;19;415;43;102;73;138;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae;g__MK04;s__
