"Fall" "Spring" "Summer" "Winter"
"Tetrasphaera" 9.61591409969494 13.6237283600284 8.55456135828454 11.1529807493808
"Candidatus Microthrix" 2.00452078875305 4.8158288169704 3.06230458667805 4.03980235337916
"Trichococcus" 2.84604576469237 4.02238728060024 2.12810341477062 4.80722286418589
"Rhodobacter" 1.74531167645907 2.12293151234316 1.58033851566036 2.86189301889356
"Rhodoferax" 2.13401792537103 2.83175473935507 1.45041599582241 2.53664664409906
"Hyphomicrobium" 1.18638139874428 1.06573673582663 1.89832828742393 1.70126115377246
"Dechloromonas" 2.77454961919975 3.00005161392577 1.31021270311334 0.95556746845445
"C10_SB1A" 2.39486670813789 0.924317887670811 1.77688478030326 0.969753979986588
"B45" 1.98786918034694 1.01510361851991 1.69276877907125 0.990243955258221
"QEDR3BF09" 1.49719887945776 1.31935487535893 1.50839427644644 0.976452818863544
